GROUP_NAME,DESCRIPTION,SMARTS_STRING,EXAMPLE_SMILES,COMPOUND_PROPOSAL_RULE,NEW_BB_PURCHASE_RULE
12 Diamine,Both amines are either primary or secondary,"[N!$([NX3][A]=,#[A$([!#6])])&$([NX3!H0][#6])][#6][#6][N!$([NX3][A]=,#[A$([!#6])])&$([NX3!H0][#6])]",CNCCNC[2H],Ignore,Ignore
12 Dihydrotriazete,Aromatic 4-membered heterocycle containing 3 nitrogens,c1nnn1,[2H]CC1=NNN1,Alert,Alert
13 Diamine,Both amines are either primary or secondary,"[N!$([NX3][A]=,#[A$([!#6])])&$([NX3!H0][#6])][#6][#6][#6][N!$([NX3][A]=,#[A$([!#6])])&$([NX3!H0][#6])]",CNCCCNC[2H],Ignore,Ignore
123-oxadiazole,Substituted or unsubstituted,o1nncc1,[2H]CC1=CON=N1,Warn,Alert
123-thiadiazole,Substituted or unsubstituted,s1nncc1,[2H]CC1=CSN=N1,Warn,Alert
123-triazole,Substituted or unsubstituted,n1nncc1,[2H]CC1=CN(C)N=N1,Ignore,Ignore
124-oxadiazole (3-amino),Amine is tertiary. Substituted with carbon in the 5-position,"[!$([NX3][A]=,#[A$([!#6])])&$([NX3H0]([#6])([#6])c(no1)nc1[#6])]",CC1=NC(N(C)C[2H])=NO1,Ignore,Ignore
125-oxadiazole,Substituted or unsubstituted,o1nccn1,[2H]CC1=NON=C1,Warn,Alert
125-thiadiazole,Substituted or unsubstituted,s1nccn1,[2H]CC1=NSN=C1,Warn,Alert
124-triazole (3-amino),Amine is tertiary. Substituted with carbon in the 4 and 5-positions,"[!$([NX3][A]=,#[A$([!#6])])&$([NX3H0]([#6])([#6])c1n([#6])c([#6])nn1)]",CC1=NN=C(N(C[2H])C)N1C,Ignore,Ignore
126-oxadiazine,126-oxadiazine,N1=CC=CNO1,[2H]CN1C=CC=NO1,Alert,Alert
134-oxadiazole (2-amino),Amine is tertiary. Substituted with carbon in the 5-position,"[!$([NX3][A]=,#[A$([!#6])])&$([NX3H0]([#6])([#6])c(o1)nnc1[#6])]",CN(C[2H])C1=NN=C(C)O1,Ignore,Ignore
24-dichloro-6-trifluoromethylpyrimidine,24-dichloro-6-trifluoromethylpyrimidine,Clc1nc(C(F)(F)F)nc(Cl)c1,ClC1=NC(C(F)(F)F)=NC(Cl)=C1,Alert,Alert
2-Chloropyrimidine,"Other substitution is allowed, but must be chloro, and must be a pyrimidine ring.",Clc1ncccn1,ClC1=NC=C(C[2H])C=N1,Warn,Alert
34-Dihydropyridine,34-Dihydropyridine,C1CC=NC=C1,[2H]CC1=CN=CCC1,Alert,Alert
4-Chloropyrimidine,"Other substitution is allowed, but must be chloro, and must be a pyrimidine ring.",Clc1ncncc1,ClC1=CC(C[2H])=NC=N1,Warn,Alert
45-Dihydroimidazole,45-Dihydroimidazole,C1CNC=N1,[2H]CC1=NCCN1,Warn,Ignore
Acetal,"At least one of the oxygens must not be in a ring, and the central carbon must have one hydrogen and be bonded to another carbon.",[#6]-[OR0][CH1](-[#6])O-[#6],COC(OC)C[2H],Warn,Alert
Acetone,Acetone,[CX4H3][CX3](=O)[CX4H3],CC(C[2H])=O,Ignore,Ignore
Acyl Hydrazines,"Will match acyclic hydrazides, azocarboxylates",[NR0][NR0]C=O,[2H]CC(NN)=O,Alert,Alert
Acyl or sulfonyl halide,"Acyl or sulfonyl F, Cl, Br or I.","[S,C](=[O,S])[F,Br,Cl,I]",[2H]CC(Cl)=O,Alert,Alert
Acyl or Thioacyl Bromide,Acyl or thioacyl Br,"[#6](=[O,S])Br",CC(Br)=O,Alert,Alert
Acyl or Thioacyl Chloride,Acyl or thioacyl Cl,"[#6](=[O,S])Cl",CC(Cl)=O,Alert,Alert
Acyl or Thioacyl Fluoride,Acyl or thioacyl F,"[#6](=[O,S])F",CC(F)=O,Alert,Alert
Acyl or Thioacyl Halide,"Acyl or thioacyl F, Cl, Br or I.","[#6](=[O,S])[F,Br,Cl,I]",CC(Cl)=O,Alert,Alert
Acyl or Thioacyl Iodide,Acyl or thioacyl I,"[#6](=[O,S])I",CC(I)=O,Alert,Alert
Alcohol,Will not match carboxylic/imidic acids or phenols,"[!$([#8X3][A]=,#[A$([!#6])])&$([OD1h1][CX4])]",[2H]CO,Ignore,Ignore
Aldehyde,Will match either tautomer or formaldehyde,"[$([CX3h1](=[OX1])[#6]),$([CX3h1](=C)[OX2H1]),$([CX3H2]=[OX1])]",[2H]CC=O,Alert,Alert
Aldehyde (Aliphatic),Aldehyde bonded to an aliphatic carbon. Will match either the aldehyde or enol tautomer.,"[$([CX3h1](=[OX1])[C]),$([CX3h1](=C)[OX2H1])]",CC=O,Alert,Alert
Aldehyde (Aromatic),Aldehyde bonded to an aromatic carbon.,c[CX3h1]=O,CC1=CC=C(C=O)C=C1,Alert,Alert
Aliphatic chain of at least 4 atoms,Acyclic aliphatic chain of at least 4 atoms,[R0;D2][R0;D2][R0;D2][R0;D2],[2H]CCCCCC,Warn,Alert
Aliphatic chain of at least 8 atoms,Acyclic aliphatic chain of at least 8 atoms,[R0;D2][R0;D2][R0;D2][R0;D2][R0;D2][R0;D2][R0;D2][R0;D2],[2H]CCCCCCCCCCCCCCC,Alert,Alert
Alkene,"Matches both internal (E and Z) cyclic, acyclic and terminal alkenes.",[CX3]=[CX3],[2H]CC=C,Ignore,Ignore
Alkene (Acyclic),Matches acyclic alkenes (terminal or internal),[CX3]=!@[CX3],[2H]CC=C,Ignore,Ignore
Alkene (Carbon Substituted),"Matches both internal (E and Z) cyclic, acyclic and terminal alkenes. Must have only carbon substitution","[$([#6][CX3H1]=[CX3H2]),$([#6][CX3H0]([#6])=[CX3H2]),$([#6][CX3H1]=[CX3H1][#6]),$([#6][CX3H0]([#6])=[CX3H1][#6]),$([#6][CX3H1]=[CX3H0]([#6])[#6]),$([#6][CX3H0]([#6])=[CX3H0]([#6])[#6])]",[2H]CC=C,Ignore,Ignore
Alkene (Cyclic),Matches cyclic alkenes,[CX3]=@[CX3],[2H]CC1CC=CC1,Ignore,Ignore
Alkene (Heterosubstituted),Alkene where one of the carbons is bonded to a heteroatom,[CX3]=[CX3][!#6],[2H]CC=CN,Warn,Ignore
Alkene (Terminal),Alkene where one of the carbons has two hydrogens,[CX3H2]=[CX3],[2H]CC=C,Ignore,Ignore
Alkyl Bromide,"Does not match vinyl, acyl, oximinoyl or aryl bromides.",[CX4]Br,[2H]CCBr,Alert,Alert
Alkyl Chloride,"Does not match vinyl, acyl, oximinoyl or aryl chlorides.",[CX4]Cl,[2H]CCCl,Alert,Alert
Alkyl Fluoride,"Does not match vinyl, acyl, oximinoyl or aryl fluorides.",[CX4]F,CCF,Ignore,Ignore
Alkyl Halide,"Methyl, primary, secondary or tertiary alkyl chloride, bromide or iodide. Does not match aryl halides.","[Cl,Br,I]C",[2H]CCI,Alert,Alert
Alkyl Cl Br or I (Not Tertiary),"Methyl, primary, or secondary alkyl chloride, bromide or iodide. Does not match aryl, vinyl, acyl or oximinoyl halides.","[CX4!H0][Cl,Br,I]",[2H]CCI,Alert,Alert
Alkyl Iodide,"Does not match vinyl, acyl, oximinoyl or aryl iodides.",[CX4]I,[2H]CCI,Alert,Alert
Alkyl Tosylate,Other substitution on the aromatic ring is allowed.,[CX4]OS(=O)(=O)c1ccc(C)cc1,O=S(OCC)(C1=CC=C(C)C=C1)=O,Alert,Alert
Alkyl Tosylate (Not Tertiary),Other substitution on the aromatic ring is allowed.,[CX4!H0]OS(=O)(=O)c1ccc(C)cc1,O=S(OCC[2H])(C1=CC=C(C)C=C1)=O,Alert,Alert
Alkyl Triflate,Alkyl Triflate,[CX4]OS(=O)(=O)C(F)(F)F,COS(=O)(C(F)(F)F)=O,Alert,Alert
Alkyl Triflate (Not Tertiary),Alkyl Triflate (Not Tertiary),[CX4!H0]OS(=O)(=O)C(F)(F)F,COS(=O)(C(F)(F)F)=O,Alert,Alert
